Municipality,Province,Population,Attraction
Parghelia,VV,1288.0,C
San Marzano sul Sarno,SA,10.539,P
Buccheri,SR,1.924,P
Praia a Mare,CS,6657.0,G
Orta Nova,FG,17.584,P
Trebisacce,CS,9016.0,P
Santa Maria la Fossa,CE,2.649,Q
Castro dei Volsci,FR,4702.0,P
Roccaraso,AQ,1.661,H
Riesi,CL,11.291,P
Petrizzi,CZ,1103.0,P
Casteldaccia,PA,11.688,P
Melito di Porto Salvo,RC,11217.0,P
Arielli,CH,1.113,P
Enna,EN,27.004,H
Sant'Anastasia,NA,27.123,Q
Altofonte,PA,10.127,Q
Galatro,RC,1624.0,Q
Irsina,MT,4.737,P
Santa Maria la Fossa,CE,2.649,Q
Mammola,RC,2689.0,P
Pomigliano d'Arco,NA,39.922,P
Pietraperzia,EN,6.768,P
Priolo Gargallo,SR,11.823,P
Cassano delle Murge,BA,14.76,P
Santa Lucia di Serino,AV,1.402,P
Motta San Giovanni,RC,6043.0,C
Santo Stefano di Rogliano,CS,1713.0,Q
Feroleto della Chiesa,RC,1626.0,Q
Barrafranca,EN,12.8,P
Pozzallo,RG,19.427,C
Partinico,PA,31.84,P
Albidona,CS,1268.0,L2
Mongrassano,CS,1549.0,Q
Militello in Val di Catania,CT,7.186,P
Tiriolo,CZ,3815.0,P
Castroreale,ME,2.37,Q
Momperone,AL,210.0,P
Trebisacce,CS,9016.0,P
Qualiano,NA,25.766,P
Patti,ME,13.215,G
Pontelandolfo,BN,2.119,P
Santa Maria la Fossa,CE,2.649,Q
Pietraperzia,EN,6.768,P
Buccheri,SR,1.924,P
Marina di Gioiosa Ionica,RC,6541.0,C
Atripalda,AV,10.852,P
San Vito sullo Ionio,CZ,1723.0,Q
Arielli,CH,1.113,P
Marina di Gioiosa Ionica,RC,6541.0,C
Piedimonte Etneo,CT,3.95,P
Gravina di Catania,CT,25.424,P
Santa Lucia del Mela,ME,4.582,Q
Cianciana,AG,3.372,Q
Sant'Anastasia,NA,27.123,Q
Palma di Montechiaro,AG,22.503,P
Santa Venerina,CT,8.533,C
Luzzi,CS,9151.0,P
Arzano,NA,34.19,P
Nicolosi,CT,7.484,H
Bonifati,CS,2766.0,C
Farindola,PE,1.438,P
San Filippo del Mela,ME,6.967,P
Parghelia,VV,1288.0,C
Pedara,CT,14.673,P
Santa Maria la Fossa,CE,2.649,Q
Galliavola,PV,195.0,Q
Ripa Teatina,CH,4.041,P
Rodì Milici,ME,2.006,Q
Castroreale,ME,2.37,Q
Ricengo,CR,1.731,Q
Polonghera,CN,1.14,Q
Aquilonia,AV,1.635,P
Villafranca Tirrena,ME,8.39,C
Castelpagano,BN,1447.0,P
Feroleto della Chiesa,RC,1626.0,Q
Santa Venerina,CT,8.533,C
Ottati,SA,602.0,Q
Altavilla Milicia,PA,8.349,C
Alcamo,TP,45.19,C
Altavilla Milicia,PA,8.349,C
Gioiosa Marea,ME,6.904,C
Caltanissetta,CL,61.064,P
Calopezzati,CS,1375.0,C
Castro dei Volsci,FR,4702.0,P
Caposele,AV,3.391,P
Villabate,PA,19.96,Q
Qualiano,NA,25.766,P
Piedimonte Etneo,CT,3.95,P
Pace del Mela,ME,6.242,Q
Caltanissetta,CL,61.064,P
Barcellona Pozzo di Gotto,ME,41.221,P
Zafferana Etnea,CT,9.625,B
Cianciana,AG,3.372,Q
Motta d'Affermo,ME,700.0,Q
